,'type','capacity - fuel','capacity - waste-heat source','Cb','variable O&M - heat production','variable O&M - electricity production','variable O&M - heat transport','length - heat transport','loss factor - heat transport','investment cost - heat transport','investment cost - heat capacity','fixed O&M - heat capacity','discount rate','lifetime - heat capacity','lifetime - heat transport','aux'
* units,-,MW,MW,-,EUR/MWh-heat,EUR/MWh-elec,EUR/MWh-heat,km,-/km,EUR/MW-km,EUR/MW,EUR/MW,-,years,years,-
CHP_biofuel,BP,192,-,0.86,-,7.975,-,-,-,-,-,-,-,-,-,0
CHP_coal,BP,3014,-,0.84,-,3.279,-,-,-,-,-,-,-,-,-,0
CHP_muniwaste,BP,1445,-,0.3,-,26.882,-,-,-,-,-,-,-,-,-,0
CHP_natgas,BP,2877,-,1.3,-,4.679,-,-,-,-,-,-,-,-,-,0
CHP_straw,BP,500,-,0.43,-,2.276,-,-,-,-,-,-,-,-,-,0
CHP_w-chip,BP,1747,-,0.35,-,1.382,-,-,-,-,-,-,-,-,-,0
CHP_w-pellet,BP,2429,-,0.49,-,1.84,-,-,-,-,-,-,-,-,-,0
CHP_w-waste,BP,173,-,0.35,-,1.382,-,-,-,-,-,-,-,-,-,0
FF_solar,HO,1074,-,-,0.223,-,-,-,-,-,-,-,-,-,-,0
FF_industry,HO,331,-,-,0.001,-,-,-,-,-,-,-,-,-,-,0
HOB_biofuel,HO,289,-,-,1.170,-,-,-,-,-,-,-,-,-,-,0
HOB_elec,HO,1664,-,-,0.532,-,-,-,-,-,-,-,-,-,-,0
HOB_gasoil,HO,905,-,-,1.170,-,-,-,-,-,-,-,-,-,-,0
HOB_muniwaste,HO,99,-,-,8.284,-,-,-,-,-,-,-,-,-,-,0
HOB_natgas,HO,3704,-,-,1.170,-,-,-,-,-,-,-,-,-,-,0
HOB_straw,HO,2060,-,-,2.318,-,-,-,-,-,-,-,-,-,-,0
HOB_w-chip,HO,1034,-,-,2.892,-,-,-,-,-,-,-,-,-,-,0
HOB_w-pellet,HO,232,-,-,2.084,-,-,-,-,-,-,-,-,-,-,0
HOB_w-waste,HO,80,-,-,2.892,-,-,-,-,-,-,-,-,-,-,0
HP_ambient,HO,102,-,-,2.860,-,-,-,-,-,-,-,-,-,-,0
HP_industry,HO,56,-,-,2.860,-,-,-,-,-,-,-,-,-,-,0
HR_S-near,HR,-,400,-,2.860,-,0.1,0.1,0.0169,745600,1319000,2130,0.04,25,40,0
HR_S-far,HR,-,400,-,2.860,-,0.1,1.0,0.0169,745600,1319000,2130,0.04,25,40,0
HR_M-near,HR,-,400,-,2.329,-,0.1,1.0,0.0080,319100,915000,2130,0.04,25,40,0
HR_M-far,HR,-,400,-,2.329,-,0.1,3.0,0.0080,319100,915000,2130,0.04,25,40,0
HR_L-near,HR,-,400,-,1.797,-,0.1,1.0,0.0036,121900,712000,2130,0.04,25,40,0
HR_L-far,HR,-,400,-,1.797,-,0.1,3.0,0.0036,121900,712000,2130,0.04,25,40,0
